1:IF 0.735,0.815|#|0.455,#|#|#|#|#,0.505|#,0.315| THEN  EXC With Confidence=1.0 and Coverage=0.4375
2:IF 0.655,#|#|#,0.375|#|#|#|#|0.28500000000000003,#| THEN  ME1 With Confidence=1.0 and Coverage=0.3
3:IF 0.245,0.495|#|#,0.375|#|#|#|0.445,#|0.15000000000000002,0.255| THEN  ME3 With Confidence=1.0 and Coverage=0.26530612
4:IF 0.795,#|#|0.455,#|#|#|#|#|0.295,#| THEN  ERL With Confidence=1.0 and Coverage=0.25
5:IF 0.295,0.395|#|#,0.375|#|#|#|#|#| THEN  ME3 With Confidence=1.0 and Coverage=0.19727892
6:IF #|0.765,0.9299999999999999|#,0.315|#|#|#|#|#| THEN  ME1 With Confidence=1.0 and Coverage=0.1
7:IF 0.685,0.695|#|0.375,0.415|#|#|#|#|#| THEN  ME2 With Confidence=1.0 and Coverage=0.06666667
8:IF 0.735,0.745|#|#|0.385,0.445|#|#|#|#| THEN  POX With Confidence=1.0 and Coverage=0.055555556
9:IF #|#|0.505,0.655|0.155,0.175|#|#|#|0.405,#| THEN  NUC With Confidence=1.0 and Coverage=0.031088082
10:IF #|#|0.475,0.575|#|#|#|#|#,0.125| THEN  CYT With Confidence=1.0 and Coverage=0.021582734
11:IF #|#|0.735,#|#|#|#|#|#| THEN  CYT With Confidence=1.0 and Coverage=0.016786572
12:IF #,0.185|#|#|#|#|#|#|#| THEN  NUC With Confidence=1.0 and Coverage=0.0077720205
13:IF 0.225,0.625|0.525,#|#|0.435,#|#|#|#|0.2,0.305| THEN  MIT With Confidence=0.9791667 and Coverage=0.21461187
14:IF #,0.625|0.525,#|#|0.435,#|#|#|#|#,0.295| THEN  MIT With Confidence=0.9791667 and Coverage=0.21461187
15:IF 0.245,0.495|#|#,0.375|#|#|#|0.445,#|0.15000000000000002,0.295| THEN  ME3 With Confidence=0.9782609 and Coverage=0.30612245
16:IF 0.28500000000000003,0.495|#|#,0.375|#|#|#|#|0.215,0.305| THEN  ME3 With Confidence=0.9777778 and Coverage=0.2993197
17:IF #,0.625|0.525,#|#|0.435,#|#|#|#|#| THEN  MIT With Confidence=0.9655172 and Coverage=0.25570777
18:IF 0.245,0.495|#|#,0.375|#|#|#|#|0.215,0.305| THEN  ME3 With Confidence=0.962963 and Coverage=0.3537415
19:IF #|#|#|0.575,0.695|#|#|#|0.215,0.305| THEN  MIT With Confidence=0.95652175 and Coverage=0.10045662
20:IF #,0.395|#|#,0.375|#|#|#|#|#| THEN  ME3 With Confidence=0.95348835 and Coverage=0.27891156
21:IF #,0.615|0.515,#|#|0.445,#|#|#|#|#| THEN  MIT With Confidence=0.95 and Coverage=0.26027396
22:IF 0.215,0.625|0.515,#|#|0.425,#|#|#|#|#| THEN  MIT With Confidence=0.93939394 and Coverage=0.28310502
23:IF #,0.605|0.505,#|#|0.435,#|#|#|#|#| THEN  MIT With Confidence=0.93939394 and Coverage=0.28310502
24:IF 0.28500000000000003,0.505|#|#,0.375|#|#|#|#|#| THEN  ME3 With Confidence=0.9298246 and Coverage=0.3605442
25:IF #,0.525|#|#,0.375|#|#|#|0.425,#|#| THEN  ME3 With Confidence=0.91780823 and Coverage=0.45578232
26:IF #,0.545|#|#,0.375|#|#|#|#|#,0.325| THEN  ME3 With Confidence=0.91780823 and Coverage=0.45578232
27:IF #,0.675|0.505,#|#|0.435,#|#|#|#|#| THEN  MIT With Confidence=0.9066667 and Coverage=0.3105023
28:IF #|#|0.505,0.605|0.155,0.435|#|#|#|0.405,#| THEN  NUC With Confidence=0.902439 and Coverage=0.09585492
29:IF #|#|0.505,0.535|#|#|#|#|0.46499999999999997,#| THEN  NUC With Confidence=0.8947368 and Coverage=0.04404145
30:IF #|0.435,0.565|#|#|#|#|#|#,0.215| THEN  CYT With Confidence=0.8947368 and Coverage=0.040767387
31:IF 0.365,0.695|0.495,#|#|0.425,#|#|#|#|0.215,0.725| THEN  MIT With Confidence=0.89285713 and Coverage=0.34246576
32:IF #|#|0.505,0.625|0.155,0.435|#|#|#|0.405,#| THEN  NUC With Confidence=0.8888889 and Coverage=0.103626944
33:IF 0.245,0.555|#|#,0.395|#|#|#|0.435,#|#| THEN  ME3 With Confidence=0.88461536 and Coverage=0.6258503
34:IF #,0.675|0.505,#|0.415,#|0.395,#|#|#|#|0.215,#| THEN  MIT With Confidence=0.88372093 and Coverage=0.34703195
35:IF 0.245,0.555|#|#,0.395|#|#|#|#|#| THEN  ME3 With Confidence=0.88073397 and Coverage=0.6530612
36:IF 0.375,0.695|#|#|0.545,0.775|#|#|#|#| THEN  MIT With Confidence=0.86 and Coverage=0.19634703
37:IF 0.245,0.555|#|#,0.425|#,0.395|#|#|0.445,#|#| THEN  ME3 With Confidence=0.85714287 and Coverage=0.6938776
38:IF #,0.695|0.495,#|0.415,#|0.375,#|#|#|#|0.215,#| THEN  MIT With Confidence=0.85714287 and Coverage=0.38356164
39:IF 0.875,#|#|#|0.355,#|#|#|#|0.215,0.305| THEN  ME2 With Confidence=0.85714287 and Coverage=0.13333334
40:IF #|#|0.505,0.625|0.125,0.445|#|#|#|0.405,#| THEN  NUC With Confidence=0.8545455 and Coverage=0.12176166
41:IF 0.375,0.435|#|0.555,#|#|#|#|#|#,0.255| THEN  CYT With Confidence=0.85294116 and Coverage=0.06954437
42:IF 0.695,0.835|0.665,#|#,0.445|#|#|#|0.445,#|#| THEN  ME1 With Confidence=0.84615386 and Coverage=0.55
43:IF #|#|0.685,#|#|#|#|#|#| THEN  CYT With Confidence=0.84615386 and Coverage=0.026378896
44:IF 0.46499999999999997,0.555|#|#|0.445,#|#|#|#|#| THEN  MIT With Confidence=0.84210527 and Coverage=0.21917808
45:IF #,0.585|#|0.495,0.645|0.125,0.445|#|#|#|0.405,#| THEN  NUC With Confidence=0.84126985 and Coverage=0.1373057
46:IF #|#|0.495,0.575|#|#|#|#|0.505,#| THEN  NUC With Confidence=0.8333333 and Coverage=0.06476684
47:IF #,0.575|#|#,0.405|#|#|#|#|#| THEN  ME3 With Confidence=0.83064514 and Coverage=0.70068026
48:IF #|#|0.495,0.655|0.125,0.455|#|#|#|0.405,#| THEN  NUC With Confidence=0.82857144 and Coverage=0.15025906
49:IF 0.245,0.555|#|#,0.415|#|#|#|#|#| THEN  ME3 With Confidence=0.828125 and Coverage=0.7210884
50:IF #|#|0.455,#|#,0.245|#|#|0.555,#|0.125,0.245| THEN  CYT With Confidence=0.825 and Coverage=0.07913669
51:IF 0.655,#|#|#,0.375|#|#|#|#|0.255,#| THEN  ME1 With Confidence=0.8235294 and Coverage=0.35
52:IF #|#|0.495,0.645|0.125,0.445|#|#|#|0.395,#| THEN  NUC With Confidence=0.82191783 and Coverage=0.15544042
53:IF #,0.555|#|#,0.415|#|#|#|#|#| THEN  ME3 With Confidence=0.8181818 and Coverage=0.7346939
54:IF #|#|#|#|#|#|#|#,0.125| THEN  CYT With Confidence=0.8181818 and Coverage=0.043165468
55:IF 0.725,0.835|0.665,#|#,0.445|#|#|#|#|#| THEN  ME1 With Confidence=0.8148148 and Coverage=0.55
56:IF #|#|#|0.555,0.775|#|#|#|#| THEN  MIT With Confidence=0.8125 and Coverage=0.1780822
57:IF #|#|0.495,#|#,0.455|#|#|#|0.405,#| THEN  NUC With Confidence=0.8101266 and Coverage=0.1658031
58:IF 0.735,0.835|#|0.445,#|#|#|#|#,0.505|#| THEN  EXC With Confidence=0.8095238 and Coverage=0.53125
59:IF 0.265,0.505|#|0.455,#|#,0.375|#|#|0.545,#|0.15000000000000002,0.245| THEN  CYT With Confidence=0.8 and Coverage=0.09592326
60:IF #|#|0.46499999999999997,#|#,0.275|#|#|0.555,#|#,0.235| THEN  CYT With Confidence=0.8 and Coverage=0.086330935
61:IF #,0.505|#|0.455,#|#,0.395|#|#|0.535,#|0.125,0.245| THEN  CYT With Confidence=0.7966102 and Coverage=0.112709835
62:IF #,0.685|#|0.515,#|#,0.385|#|#|#|0.325,#| THEN  NUC With Confidence=0.79591835 and Coverage=0.20207255
63:IF #,0.585|#|0.505,0.645|#,0.385|#|#|#|0.315,#| THEN  NUC With Confidence=0.7943925 and Coverage=0.22020726
64:IF 0.365,0.685|0.495,#|#|0.375,#|#|#|#|#| THEN  MIT With Confidence=0.7927928 and Coverage=0.40182647
65:IF 0.225,0.695|#|0.505,#|#,0.395|#|#|#|0.315,#| THEN  NUC With Confidence=0.7886179 and Coverage=0.25129533
66:IF #|#|0.505,0.625|0.155,0.385|#|#|#|0.315,#| THEN  NUC With Confidence=0.7882353 and Coverage=0.17357513
67:IF #|#|#|0.175,0.46499999999999997|#|#|#|#,0.215| THEN  CYT With Confidence=0.7878788 and Coverage=0.06235012
68:IF 0.225,0.675|0.365,#|0.425,#|0.385,#|#|#|#|0.215,0.305| THEN  MIT With Confidence=0.7815126 and Coverage=0.42465752
69:IF #|#|0.46499999999999997,#|#,0.405|#|#|#|0.425,#| THEN  NUC With Confidence=0.7802198 and Coverage=0.18393782
70:IF #|#|0.505,#|#|#|#|#|0.425,#| THEN  NUC With Confidence=0.7794118 and Coverage=0.1373057
71:IF #,0.675|#|#,0.425|#,0.355|#|#|#|#| THEN  ME3 With Confidence=0.7763158 and Coverage=0.8027211
72:IF 0.225,0.675|0.365,#|0.425,#|0.385,#|#|#|#|0.215,0.315| THEN  MIT With Confidence=0.7723577 and Coverage=0.43378997
73:IF #,0.675|#|#,0.425|#,0.405|#|#|#|#| THEN  ME3 With Confidence=0.7672956 and Coverage=0.829932
74:IF 0.385,0.735|#|#|0.395,#|#|#|0.435,#|0.215,0.315| THEN  MIT With Confidence=0.76666665 and Coverage=0.42009133
75:IF 0.375,0.695|#|0.425,#|0.385,#|#|#|#|0.215,0.305| THEN  MIT With Confidence=0.76666665 and Coverage=0.42009133
76:IF #|#|0.505,0.645|#,0.385|#|#|#|0.315,#| THEN  NUC With Confidence=0.76666665 and Coverage=0.23834197
77:IF 0.735,0.835|#|0.445,#|#|#|#|#,0.515|#| THEN  EXC With Confidence=0.76 and Coverage=0.59375
78:IF 0.365,0.695|#|#|0.395,#|#|#|0.435,#|0.215,0.325| THEN  MIT With Confidence=0.7578125 and Coverage=0.44292238
79:IF 0.385,0.695|#|#|0.375,#|#|#|#|0.215,0.305| THEN  MIT With Confidence=0.751938 and Coverage=0.44292238
80:IF #|#,0.595|#|#|#|#|#|#,0.215| THEN  CYT With Confidence=0.75 and Coverage=0.07194245
81:IF #|0.325,0.635|0.46499999999999997,#|#,0.385|#|#|0.545,#|0.15000000000000002,0.255| THEN  CYT With Confidence=0.74285716 and Coverage=0.12470024
82:IF #|#|0.495,#|#,0.405|#|#|#|0.325,#| THEN  NUC With Confidence=0.7410072 and Coverage=0.26683939
83:IF #|#|0.46499999999999997,#|#|#|#|#|0.425,#| THEN  NUC With Confidence=0.74 and Coverage=0.19170985
