1:IF #|0010|#|#|#|#|#|#|#|#|#| THEN  H With Confidence=1.0 and Coverage=1.0
2:IF 100000|#|#|#|#|#|#|#|#|#|#| THEN  B With Confidence=1.0 and Coverage=0.99248123
3:IF #|0011|#|#|100|#|#|01|10111001|#|#| THEN  F With Confidence=1.0 and Coverage=0.102564104
4:IF #|0001|#|#|#|#|#|#|#|011100|100| THEN  E With Confidence=1.0 and Coverage=0.05882353
5:IF #|0101|#|#|#|#|#|#|00001000|#|#| THEN  E With Confidence=1.0 and Coverage=0.023529412
6:IF 100111|1001|#|#|#|10|#|#|00101100|#|#| THEN  C With Confidence=1.0 and Coverage=0.015873017
7:IF #|0111|#|#|100|#|#|01|10101000|#|#| THEN  F With Confidence=0.85714287 and Coverage=0.15384616
8:IF 000001|0100|#|#|#|#|#|10|11101110|#|#| THEN  D With Confidence=0.84615386 and Coverage=0.050925925
9:IF 001101|1100|#|#|#|#|#|#|#|011110|#| THEN  D With Confidence=0.8333333 and Coverage=0.046296295
10:IF 000101|0100|#|#|#|#|#|10|10100010|#|#| THEN  D With Confidence=0.82608694 and Coverage=0.08796296
11:IF 001101|0100|#|#|#|10|#|#|11101001|#|#| THEN  D With Confidence=0.8148148 and Coverage=0.10185185
12:IF 000001|0100|#|#|#|#|#|10|#|#|#| THEN  D With Confidence=0.8 and Coverage=0.055555556
13:IF 111101|1010|#|#|#|10|#|#|00101000|#|#| THEN  C With Confidence=0.8 and Coverage=0.02116402
14:IF #|#|#|#|100|#|#|01|10111001|#|#| THEN  F With Confidence=0.75 and Coverage=0.15384616
15:IF 001101|0100|#|#|#|10|#|#|#|#|#| THEN  D With Confidence=0.75 and Coverage=0.11111111
16:IF 001101|0100|#|010|#|#|#|10|10101000|#|#| THEN  D With Confidence=0.7346939 and Coverage=0.16666667
17:IF 001111|0100|#|010|#|#|#|10|10101001|#|#| THEN  D With Confidence=0.7254902 and Coverage=0.1712963
18:IF 000101|1000|#|#|#|10|#|#|10101101|100101|#| THEN  C With Confidence=0.72527474 and Coverage=0.34920636
19:IF 000101|0100|#|#|#|#|#|10|#|#|#| THEN  D With Confidence=0.725 and Coverage=0.13425925
20:IF 001101|0100|#|010|#|#|#|10|11101100|#|#| THEN  D With Confidence=0.7222222 and Coverage=0.24074075
21:IF 011111|0100|#|#|#|10|#|#|11101000|#|#| THEN  D With Confidence=0.7209302 and Coverage=0.14351852
22:IF 000101|1000|#|#|#|10|#|#|#|100110|#| THEN  C With Confidence=0.7083333 and Coverage=0.35978836
23:IF 000111|1000|#|#|#|10|#|#|10101100|#|#| THEN  C With Confidence=0.7083333 and Coverage=0.35978836
24:IF 000101|1000|#|#|#|#|#|10|10101111|100111|#| THEN  C With Confidence=0.7075472 and Coverage=0.3968254
25:IF 001111|0100|#|010|#|#|#|10|#|#|#| THEN  D With Confidence=0.7012987 and Coverage=0.25
26:IF #|0101|#|#|100|#|#|01|#|100010|#| THEN  F With Confidence=0.7 and Coverage=0.17948718
27:IF 000101|1000|#|#|#|#|#|10|#|100001|#| THEN  C With Confidence=0.6964286 and Coverage=0.41269842
28:IF 010101|1000|#|#|#|10|#|#|10101000|#|#| THEN  C With Confidence=0.6962025 and Coverage=0.58201057
29:IF 011101|1000|#|#|#|10|#|#|10101000|#|#| THEN  C With Confidence=0.6744186 and Coverage=0.6137566
30:IF 011101|0100|#|011|#|#|#|10|11110100|#|#| THEN  D With Confidence=0.6666667 and Coverage=0.3148148
31:IF 010111|1000|#|#|#|10|#|#|#|110101|#| THEN  C With Confidence=0.6612022 and Coverage=0.64021164
32:IF 010101|1000|#|#|#|10|#|#|#|#|#| THEN  C With Confidence=0.6611111 and Coverage=0.6296296
33:IF 010101|1000|#|#|100|#|#|10|10101100|110011|#| THEN  C With Confidence=0.6415094 and Coverage=0.7195767
34:IF 010101|1000|#|#|#|#|#|10|10011010|#|#| THEN  C With Confidence=0.6411483 and Coverage=0.7089947
