5.0, 3.5, 1.6, 0.6, Iris-setosa
4.8, 3.0, 1.4, 0.3, Iris-setosa
5.3, 3.7, 1.5, 0.2, Iris-setosa
5.8, 2.7, 3.9, 1.2, Iris-versicolor
6.3, 2.3, 4.4, 1.3, Iris-versicolor
5.7, 3.0, 4.2, 1.2, Iris-versicolor
6.3, 2.9, 5.6, 1.8, Iris-virginica
6.4, 2.8, 5.6, 2.2, Iris-virginica
6.9, 3.1, 5.4, 2.1, Iris-virginica
5.1, 3.5, 1.4, 0.3, Iris-setosa
5.7, 2.8, 4.5, 1.3, Iris-versicolor
5.9, 3.0, 4.2, 1.5, Iris-versicolor
6.8, 3.0, 5.5, 2.1, Iris-virginica
6.4, 3.2, 5.3, 2.3, Iris-virginica
4.7, 3.2, 1.6, 0.2, Iris-setosa

