17.0, 52.0, 48.0, 5.0, 49.0, 37.0, 46.0, cp
36.0, 42.0, 48.0, 5.0, 53.0, 32.0, 41.0, cp
16.0, 43.0, 48.0, 5.0, 54.0, 27.0, 37.0, cp
43.0, 4.0, 48.0, 5.0, 58.0, 75.0, 78.0, im
29.0, 47.0, 48.0, 5.0, 71.0, 65.0, 69.0, im
5.0, 66.0, 48.0, 5.0, 31.0, 92.0, 92.0, im
64.0, 58.0, 48.0, 5.0, 48.0, 78.0, 73.0, im
33.0, 45.0, 48.0, 5.0, 45.0, 88.0, 89.0, im
45.0, 4.0, 48.0, 5.0, 61.0, 74.0, 77.0, im
31.0, 44.0, 48.0, 5.0, 5.0, 79.0, 82.0, im
46.0, 59.0, 48.0, 5.0, 36.0, 76.0, 23.0, im
79.0, 36.0, 48.0, 5.0, 46.0, 82.0, 7.0, imU
59.0, 29.0, 48.0, 5.0, 64.0, 75.0, 77.0, imU
49.0, 61.0, 1.0, 5.0, 56.0, 71.0, 74.0, imU
57.0, 38.0, 48.0, 5.0, 6.0, 49.0, 33.0, imU
65.0, 51.0, 48.0, 5.0, 66.0, 54.0, 33.0, om
6.0, 76.0, 1.0, 5.0, 77.0, 59.0, 52.0, om
63.0, 8.0, 48.0, 5.0, 46.0, 31.0, 29.0, pp
76.0, 73.0, 48.0, 5.0, 44.0, 39.0, 39.0, pp
56.0, 54.0, 48.0, 5.0, 43.0, 37.0, 3.0, pp
69.0, 65.0, 48.0, 5.0, 63.0, 48.0, 41.0, pp
74.0, 56.0, 48.0, 5.0, 47.0, 68.0, 3.0, pp
42.0, 24.0, 48.0, 5.0, 57.0, 27.0, 37.0, cp
53.0, 38.0, 48.0, 5.0, 44.0, 26.0, 36.0, cp
65.0, 47.0, 48.0, 5.0, 59.0, 3.0, 4.0, cp
33.0, 45.0, 48.0, 5.0, 52.0, 32.0, 41.0, cp
23.0, 33.0, 48.0, 5.0, 43.0, 33.0, 43.0, cp
51.0, 37.0, 48.0, 5.0, 35.0, 36.0, 45.0, cp
42.0, 38.0, 48.0, 5.0, 54.0, 34.0, 43.0, cp
35.0, 48.0, 48.0, 5.0, 56.0, 4.0, 48.0, cp
41.0, 43.0, 48.0, 5.0, 45.0, 31.0, 41.0, cp
34.0, 55.0, 48.0, 5.0, 58.0, 31.0, 41.0, cp
31.0, 47.0, 48.0, 5.0, 29.0, 28.0, 39.0, cp

