1:IF #|#|#|#|72.07,72.785|#,0.01|#|#|#| THEN  6 With Confidence=1.0 and Coverage=0.75
2:IF #|#|#, 0.0|#|#|#|7.6850000000000005,9.75|#|#| THEN  7 With Confidence=1.0 and Coverage=0.7307692
3:IF 1.51715,1.517985|#|#|0.775,1.42|#|#|#|#|#,0.185| THEN  1 With Confidence=1.0 and Coverage=0.41269842
4:IF #|#|#|1.4049999999999998,1.5350000000000001|#|#|7.6850000000000005,8.395|#|#| THEN  2 With Confidence=1.0 and Coverage=0.1764706
5:IF #|#|#|0.5700000000000001,0.655|#|#|#|#|#| THEN  3 With Confidence=1.0 and Coverage=0.13333334
6:IF #|#|#|#|#|#|8.094999999999999,8.145|#|#| THEN  2 With Confidence=1.0 and Coverage=0.0882353
7:IF 1.5178150000000001,1.517875|#|#|#|#|#|#|#|#| THEN  1 With Confidence=1.0 and Coverage=0.04761905
8:IF 1.515725,1.51715|#|#|#|#|#|7.02,8.29|#|#,0.175| THEN  2 With Confidence=0.962963 and Coverage=0.38235295
9:IF 1.517195,1.517875|#|#|0.85,1.39|#|#|#|#|#| THEN  1 With Confidence=0.96153843 and Coverage=0.3968254
10:IF #|13.495000000000001,#|#,3.525|#|#|#|#|0.335,#|#| THEN  7 With Confidence=0.9583333 and Coverage=0.88461536
11:IF #|#|#|1.42,1.5350000000000001|#|#|#|#|#,0.175| THEN  2 With Confidence=0.93333334 and Coverage=0.20588236
12:IF #|#|#|#|#|#|#|0.195,#|#,0.11499999999999999| THEN  7 With Confidence=0.92 and Coverage=0.88461536
13:IF 1.523895,#|#|#|#|#|#|#|#|#| THEN  2 With Confidence=0.9 and Coverage=0.13235295
14:IF 1.51715,1.517985|#|#|#|#|0.325,0.745|#|#|#| THEN  1 With Confidence=0.88235295 and Coverage=0.47619048
15:IF #|#,13.885000000000002|#, 0.0|#|#|0.315,#|#|#|#,0.11499999999999999| THEN  5 With Confidence=0.875 and Coverage=0.5833333
16:IF 1.517195,1.522735|#|#|0.85,1.42|#|#|7.6850000000000005,9.985|#|#,0.11499999999999999| THEN  1 With Confidence=0.8695652 and Coverage=0.63492066
17:IF #|#|#|#|#|#|8.075,8.215|#|#| THEN  2 With Confidence=0.85714287 and Coverage=0.1764706
18:IF 1.517195,1.522735|#|#|0.85,1.42|#|#|7.6850000000000005,10.365|#|#,0.175| THEN  1 With Confidence=0.8363636 and Coverage=0.73015875
19:IF #|#|#|#|#|#|11.205,11.629999999999999|#|#| THEN  5 With Confidence=0.8333333 and Coverage=0.41666666
20:IF 1.517195,1.522735|#|#|0.85,1.39|#|#|#|#|#,0.11499999999999999| THEN  1 With Confidence=0.82978725 and Coverage=0.61904764
21:IF #|#|2.8600000000000003,#|#|#|#|7.02,8.29|#|#,0.155| THEN  2 With Confidence=0.82051283 and Coverage=0.47058824
22:IF 1.5168599999999999,1.5269599999999999|#|#|#,1.42|#|#|7.6850000000000005,10.365|#|#,0.11499999999999999| THEN  1 With Confidence=0.8135593 and Coverage=0.7619048
