1:IF #,57.5|#|#|#|#|#|#|157.5,#|#|#|#|#, 0.0|#, 3.0| THEN  0 With Confidence=1.0 and Coverage=0.37414965
2:IF #,60.5|01|#|#|#|#|#|123.5,#|#|2.25,2.7|#|#| 7.0,#| THEN  4 With Confidence=1.0 and Coverage=0.27272728
3:IF #|#|#|#|#|#|#|169.5,#|#|#|#|#, 0.0|#, 3.0| THEN  0 With Confidence=1.0 and Coverage=0.27210885
4:IF #,61.5|#|#|#|276.5,#|#|#|#,144.5|#|#|#|#, 0.0|#| THEN  2 With Confidence=1.0 and Coverage=0.1875
5:IF #,57.5|01|#|#|256.5,276.5|#|#|#,142.5|#|#|#|#|#| THEN  1 With Confidence=1.0 and Coverage=0.1
6:IF 54.5,57.5|#|#|#|#|#|#|129.5,139.5|#|#|#|#|#| THEN  3 With Confidence=1.0 and Coverage=0.09375
7:IF #|01|#|#|#|#|#|89.0,97.5|#|#|#|#|#| THEN  3 With Confidence=1.0 and Coverage=0.09375
8:IF #|#|#|#|267.5,310.0|#|#|#|#|2.05,3.7|#|#|#| THEN  3 With Confidence=1.0 and Coverage=0.09375
9:IF #|#|#|#|#|#|#|123.5,124.5|#|#|#|#|#| THEN  4 With Confidence=1.0 and Coverage=0.09090909
10:IF #|#|#|#|246.5,255.5|#|#|#|01|#|#|#|#| THEN  1 With Confidence=1.0 and Coverage=0.08
11:IF #|#|#|#|#|#|#|116.5,120.5|#|#|#|1.5,#|#| THEN  2 With Confidence=1.0 and Coverage=0.0625
12:IF #|#|#|#|249.5,256.5|#|#|#,143.5|#|#|#|#|#| THEN  2 With Confidence=1.0 and Coverage=0.0625
13:IF #|#|#|#|212.5,215.5|#|#|#|#|#|#|#|#| THEN  0 With Confidence=1.0 and Coverage=0.034013607
14:IF #|#|#|#|#|#|#|112.5,113.5|#|#|#|#|#| THEN  2 With Confidence=1.0 and Coverage=0.03125
15:IF #|#|#|#|#|#|#|176.0,177.5|#|#|#|#|#| THEN  1 With Confidence=1.0 and Coverage=0.02
