5.1, 3.3, 1.7, 0.5, Iris-setosa
5.0, 3.0, 1.6, 0.2, Iris-setosa
5.8, 2.7, 3.9, 1.2, Iris-versicolor
6.0, 3.4, 4.5, 1.6, Iris-versicolor
5.7, 2.9, 4.2, 1.3, Iris-versicolor
5.8, 2.7, 5.1, 1.9, Iris-virginica
7.6, 3.0, 6.6, 2.1, Iris-virginica
6.7, 3.3, 5.7, 2.1, Iris-virginica
7.2, 3.0, 5.8, 1.6, Iris-virginica
6.7, 3.3, 5.7, 2.5, Iris-virginica
5.8, 4.0, 1.2, 0.2, Iris-setosa
5.0, 2.0, 3.5, 1.0, Iris-versicolor
5.2, 3.5, 1.5, 0.2, Iris-setosa
5.5, 4.2, 1.4, 0.2, Iris-setosa
5.8, 2.7, 4.1, 1.0, Iris-versicolor

