1:IF #|#|#|0.85,2.0949999999999998|#|#, 0.0|#|#, 0.0|#| THEN  6 With Confidence=1.0 and Coverage=0.75
2:IF 1.515885,1.523075|#|#|1.4049999999999998,#|#|#|#|0.335,#|#| THEN  7 With Confidence=1.0 and Coverage=0.65384614
3:IF #|#|#|1.39,1.78|#|#|11.18,#|#|#| THEN  5 With Confidence=1.0 and Coverage=0.5
4:IF 1.517005,1.517875|#|#|0.775,1.4049999999999998|#|0.155,0.615|#|#|#| THEN  1 With Confidence=1.0 and Coverage=0.3809524
5:IF 1.515895,1.517005|#|#|1.275,1.39|#|#|#|#|#| THEN  3 With Confidence=1.0 and Coverage=0.33333334
6:IF 1.515725,1.523425|#|#|1.4049999999999998,#|#|#|8.075,8.335|#|#| THEN  2 With Confidence=1.0 and Coverage=0.1764706
7:IF #|#|3.755,#|#|#|0.315,#|#|#|#| THEN  2 With Confidence=1.0 and Coverage=0.13235295
8:IF #|#|#|#| 75.41,#|#|#|#|#| THEN  6 With Confidence=1.0 and Coverage=0.125
9:IF #|#|#|#|#|#|12.870000000000001,#|#|#| THEN  2 With Confidence=1.0 and Coverage=0.0882353
10:IF 1.517755,1.51777|#|#|#|#|#|#|#|#| THEN  3 With Confidence=1.0 and Coverage=0.06666667
11:IF 1.515725,1.523425|#|#|1.4049999999999998,2.145|#|0.065,#|6.79,8.335|#|#| THEN  2 With Confidence=0.96666664 and Coverage=0.42647058
12:IF 1.515895,1.517195|#|#|#|#|#|7.02,8.285|#|#| THEN  2 With Confidence=0.9655172 and Coverage=0.4117647
13:IF 1.517195,1.517875|#|#|0.775,1.4049999999999998|#|0.155,0.665|#|#|#| THEN  1 With Confidence=0.96428573 and Coverage=0.42857143
14:IF 1.51511,1.522735|#|#|1.4049999999999998,#|#|#|#|0.335,#|#| THEN  7 With Confidence=0.95238096 and Coverage=0.7692308
15:IF 1.517195,1.517875|#|#|#|#|0.155,0.665|#|#|#| THEN  1 With Confidence=0.9375 and Coverage=0.47619048
16:IF 1.515725,1.51724|#|#|#|#|#|6.79,8.285|#|#| THEN  2 With Confidence=0.9354839 and Coverage=0.42647058
17:IF #|13.620000000000001,#|#|#|#|#|#|0.255,#|#| THEN  7 With Confidence=0.92 and Coverage=0.88461536
18:IF 1.5183849999999999,1.5188000000000001|#|#|#|#|#|#|#|#| THEN  2 With Confidence=0.9 and Coverage=0.13235295
19:IF #|12.66,13.82|#,1.97|#|#|0.315,#|#|#|#| THEN  5 With Confidence=0.8888889 and Coverage=0.6666667
20:IF #|#|#|1.275,1.295|#|#|#|#|#| THEN  1 With Confidence=0.8888889 and Coverage=0.12698413
21:IF 1.517195,1.5180950000000002|#|#|0.85,1.42|#|#|#|#|#| THEN  1 With Confidence=0.8857143 and Coverage=0.4920635
22:IF 1.517335,1.517875|#|#|#|#|#|#|#|#| THEN  1 With Confidence=0.875 and Coverage=0.44444445
23:IF 1.517755,1.520615|#|#|#|#|#,0.01|#|#|#| THEN  6 With Confidence=0.85714287 and Coverage=0.75
24:IF 1.515725,1.523075|#|#|1.42,2.145|#|0.155,0.745|7.6850000000000005,9.515|#|#| THEN  2 With Confidence=0.825 and Coverage=0.4852941
25:IF #|#|#|1.42,2.145|#|0.055,#|6.79,9.469999999999999|#|#| THEN  2 With Confidence=0.82222223 and Coverage=0.5441176
26:IF 1.517195,1.52109|#|#|1.1150000000000002,1.39|#|0.14500000000000002,0.665|#|#|#| THEN  1 With Confidence=0.8181818 and Coverage=0.5714286
27:IF 1.517195,1.52109|#|#|0.905,1.39|#|0.035,0.635|#|#|#| THEN  1 With Confidence=0.7755102 and Coverage=0.6031746
28:IF 1.517195,#|#|2.6950000000000003,#|0.85,1.39|#|0.10500000000000001,0.665|#|#|#| THEN  1 With Confidence=0.75 and Coverage=0.71428573
29:IF 1.515725,1.523425|#|#|1.4049999999999998,2.145|#|0.035,0.745|#|#|#| THEN  2 With Confidence=0.75 and Coverage=0.5735294
30:IF 1.515885,1.517195|#|#|1.2349999999999999,1.39|#|0.035,0.645|#|#|#| THEN  3 With Confidence=0.75 and Coverage=0.4
31:IF 1.517195,#|#|2.6950000000000003,#|0.85,1.39|#|#|#|#|#| THEN  1 With Confidence=0.74603176 and Coverage=0.74603176
32:IF 1.517195,#|#|2.6950000000000003,#|#,1.39|#|#|#|#, 0.0|#| THEN  1 With Confidence=0.74285716 and Coverage=0.82539684
33:IF 1.517195,#|#|2.6950000000000003,#|#,1.42|#|#|#|#|#| THEN  1 With Confidence=0.72727275 and Coverage=0.8888889
34:IF 1.515895,1.517005|#|#|0.85,1.39|#|0.035,0.665|#|#|#| THEN  3 With Confidence=0.7 and Coverage=0.46666667

1:IF #|13.425,#|#|1.775,#|#|#|7.475,10.365|#|#| THEN  7 With Confidence=1.0 and Coverage=0.84615386
2:IF #|12.625,13.385000000000002|#,2.535|#|#|0.155,#|#|#|#| THEN  5 With Confidence=1.0 and Coverage=0.6666667
3:IF #|13.91,#|#|1.39,1.775|#|#|#|#|#,0.11499999999999999| THEN  6 With Confidence=1.0 and Coverage=0.625
