S, O, 2, 2, 2, 1, 2, 1, 0, 0, 0, C
S, X, 1, 3, 1, 2, 1, 1, 0, 0, 0, H
R, X, 1, 3, 1, 1, 2, 1, 0, 0, 0, H
S, X, 1, 3, 1, 2, 1, 1, 0, 0, 0, H
A, I, 1, 2, 1, 2, 2, 1, 0, 0, 0, D
X, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, B
A, O, 2, 3, 3, 2, 2, 1, 2, 0, 0, D
K, C, 2, 3, 3, 2, 2, 2, 6, 0, 0, E
X, O, 1, 3, 1, 1, 2, 1, 1, 0, 0, B
R, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, C
A, C, 2, 3, 1, 2, 2, 2, 2, 0, 0, F
A, I, 2, 3, 1, 2, 2, 1, 0, 0, 0, E
A, I, 2, 2, 1, 2, 2, 1, 0, 0, 0, D
S, X, 1, 2, 1, 2, 2, 1, 0, 0, 0, H
X, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, B
S, I, 2, 3, 1, 2, 2, 1, 0, 0, 0, E
H, X, 1, 3, 1, 1, 1, 1, 0, 0, 0, H
A, I, 1, 3, 1, 2, 2, 1, 0, 0, 0, E
R, O, 1, 3, 1, 2, 2, 2, 0, 0, 0, E
S, X, 1, 3, 1, 1, 2, 1, 0, 0, 0, H
X, O, 1, 3, 1, 1, 2, 1, 1, 0, 0, B
A, X, 2, 3, 2, 2, 2, 1, 0, 0, 0, H
R, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, D
R, O, 1, 2, 1, 2, 2, 1, 0, 0, 0, C
R, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, C
R, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, C
S, O, 1, 2, 1, 1, 2, 1, 1, 0, 0, C
S, X, 2, 2, 1, 2, 2, 1, 0, 0, 0, H
S, X, 1, 2, 1, 2, 2, 1, 0, 0, 0, H
A, I, 2, 3, 1, 1, 2, 1, 0, 0, 0, D
X, I, 1, 3, 1, 2, 2, 1, 0, 0, 0, B
R, O, 1, 2, 1, 2, 2, 1, 0, 0, 0, C
R, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, D
S, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, C
K, I, 2, 2, 1, 2, 2, 1, 1, 0, 0, D
R, X, 1, 3, 1, 1, 2, 1, 0, 0, 0, H
A, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, D
R, O, 1, 2, 1, 2, 2, 1, 0, 0, 0, D
S, X, 1, 3, 1, 1, 1, 1, 0, 0, 0, H
A, X, 1, 3, 1, 2, 1, 1, 0, 0, 0, H
X, O, 1, 2, 1, 2, 2, 1, 0, 0, 0, B
S, X, 1, 3, 1, 1, 2, 1, 0, 0, 0, H
S, X, 1, 2, 1, 1, 1, 1, 0, 0, 0, H
A, I, 1, 2, 1, 2, 2, 1, 0, 0, 0, C
R, X, 1, 1, 1, 2, 2, 1, 0, 0, 0, H
S, X, 2, 3, 1, 2, 2, 1, 0, 0, 0, H
X, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, B
A, I, 2, 2, 1, 2, 2, 1, 1, 0, 0, D
S, O, 1, 3, 1, 2, 2, 1, 0, 0, 0, C
S, O, 1, 2, 1, 1, 2, 1, 1, 0, 0, C
A, I, 2, 2, 1, 2, 2, 1, 1, 0, 0, D
A, I, 2, 2, 1, 2, 2, 1, 2, 0, 0, D
R, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, C
S, X, 1, 3, 1, 1, 2, 1, 0, 0, 0, H
X, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, B
A, I, 1, 2, 1, 1, 2, 1, 0, 0, 0, D
S, I, 1, 3, 1, 2, 2, 1, 2, 0, 0, F
A, I, 2, 3, 1, 2, 2, 1, 0, 0, 0, D
S, I, 2, 2, 1, 2, 2, 1, 0, 0, 0, F
H, O, 2, 2, 1, 2, 2, 1, 1, 0, 0, E
R, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, C
R, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, C
X, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, B
S, X, 1, 3, 1, 2, 1, 1, 0, 0, 0, H
R, X, 1, 1, 1, 1, 2, 1, 1, 0, 0, H
S, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, C
S, X, 1, 2, 1, 1, 1, 1, 0, 0, 0, H
R, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, D
A, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, C
S, X, 1, 3, 1, 1, 1, 1, 0, 0, 0, H
S, X, 1, 2, 1, 1, 2, 1, 0, 0, 0, H
S, O, 1, 1, 1, 1, 2, 1, 0, 0, 0, D
S, I, 2, 3, 1, 2, 2, 1, 0, 0, 0, D
X, O, 1, 1, 1, 1, 2, 1, 0, 0, 0, B
S, X, 1, 2, 1, 1, 2, 1, 0, 0, 0, H
A, I, 1, 3, 1, 1, 2, 1, 0, 0, 0, D
S, X, 1, 2, 1, 1, 2, 1, 0, 0, 0, H
K, I, 2, 2, 1, 2, 2, 1, 0, 0, 0, D
S, X, 1, 1, 1, 2, 2, 1, 0, 0, 0, H
S, X, 1, 2, 1, 1, 1, 1, 0, 0, 0, H
S, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, C
A, I, 1, 2, 1, 2, 2, 1, 0, 0, 0, F
A, O, 1, 2, 1, 2, 2, 1, 4, 1, 0, E
S, X, 1, 2, 2, 2, 2, 1, 0, 0, 0, H
A, I, 2, 2, 1, 1, 2, 1, 8, 0, 0, E
S, O, 2, 3, 1, 2, 2, 1, 0, 0, 0, D
S, O, 2, 2, 1, 1, 2, 1, 1, 0, 0, C
R, C, 1, 3, 1, 2, 2, 1, 1, 0, 0, D
S, X, 1, 1, 1, 2, 2, 1, 0, 0, 0, H
X, O, 2, 1, 1, 2, 2, 1, 0, 0, 0, B
S, X, 1, 3, 1, 1, 2, 1, 0, 0, 0, H
A, O, 1, 2, 1, 2, 2, 1, 0, 0, 0, C
X, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, B
A, I, 2, 3, 3, 2, 2, 1, 2, 0, 0, D
R, X, 1, 2, 1, 1, 2, 1, 0, 0, 0, H
R, O, 2, 2, 1, 1, 2, 1, 0, 0, 0, C
S, X, 1, 2, 1, 1, 2, 1, 0, 0, 0, H
A, C, 2, 2, 1, 2, 2, 1, 0, 0, 0, E
A, I, 2, 2, 1, 2, 2, 1, 3, 0, 0, F
S, X, 1, 2, 1, 2, 1, 1, 0, 0, 0, H
R, O, 1, 1, 1, 2, 2, 1, 0, 0, 0, C
S, X, 1, 2, 1, 1, 2, 1, 0, 0, 0, H
S, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, D
H, I, 2, 3, 1, 2, 2, 1, 0, 0, 0, D
X, I, 1, 3, 1, 1, 2, 1, 0, 0, 0, B
X, I, 1, 3, 1, 1, 2, 1, 0, 0, 0, B
X, O, 2, 2, 1, 2, 2, 1, 2, 0, 0, B

