48.0, 41.0, 48.0, 5.0, 51.0, 9.0, 88.0, im
64.0, 58.0, 48.0, 5.0, 48.0, 78.0, 73.0, im
47.0, 59.0, 48.0, 5.0, 52.0, 76.0, 79.0, im
6.0, 61.0, 48.0, 5.0, 54.0, 67.0, 71.0, im
48.0, 49.0, 48.0, 5.0, 52.0, 77.0, 71.0, im
11.0, 5.0, 48.0, 5.0, 58.0, 72.0, 68.0, im
52.0, 54.0, 48.0, 5.0, 62.0, 76.0, 79.0, im
64.0, 46.0, 48.0, 5.0, 48.0, 73.0, 76.0, imU
81.0, 53.0, 48.0, 5.0, 57.0, 87.0, 88.0, imU
76.0, 41.0, 48.0, 5.0, 5.0, 59.0, 62.0, imU
84.0, 54.0, 48.0, 5.0, 75.0, 92.0, 7.0, imU
67.0, 88.0, 48.0, 5.0, 73.0, 5.0, 25.0, om
56.0, 68.0, 48.0, 5.0, 77.0, 36.0, 45.0, om
66.0, 86.0, 48.0, 5.0, 34.0, 41.0, 36.0, pp
71.0, 71.0, 48.0, 5.0, 4.0, 54.0, 39.0, pp
67.0, 81.0, 48.0, 5.0, 25.0, 42.0, 25.0, pp
68.0, 78.0, 48.0, 5.0, 43.0, 44.0, 42.0, pp
7.0, 71.0, 48.0, 5.0, 42.0, 84.0, 85.0, pp
39.0, 32.0, 48.0, 5.0, 46.0, 24.0, 35.0, cp
4.0, 45.0, 48.0, 5.0, 38.0, 22.0, 0.0, cp
31.0, 23.0, 48.0, 5.0, 73.0, 5.0, 14.0, cp
36.0, 39.0, 48.0, 5.0, 48.0, 22.0, 23.0, cp
28.0, 38.0, 48.0, 5.0, 5.0, 33.0, 42.0, cp
23.0, 58.0, 48.0, 5.0, 37.0, 53.0, 59.0, cp
44.0, 34.0, 48.0, 5.0, 3.0, 33.0, 43.0, cp
36.0, 41.0, 48.0, 5.0, 48.0, 47.0, 54.0, cp
26.0, 26.0, 48.0, 5.0, 34.0, 25.0, 35.0, cp
41.0, 48.0, 48.0, 5.0, 51.0, 44.0, 51.0, cp
35.0, 37.0, 48.0, 5.0, 3.0, 34.0, 43.0, cp
38.0, 26.0, 48.0, 5.0, 54.0, 16.0, 28.0, cp
4.0, 31.0, 48.0, 5.0, 41.0, 29.0, 39.0, cp
27.0, 3.0, 48.0, 5.0, 71.0, 28.0, 39.0, cp
34.0, 49.0, 48.0, 5.0, 58.0, 85.0, 8.0, im

