1:IF #|#|#|-2.3195,#|1.1179999999999999,2.601|#|-0.273,1.1375|#|#|#|#|-0.8825000000000001,0.2|#| THEN  3 With Confidence=1.0 and Coverage=0.4814815
2:IF #|#|#|-4.3934999999999995,-3.3280000000000003|#,0.4935|#|#|#|#|#|#|#|#| THEN  0 With Confidence=1.0 and Coverage=0.4074074
3:IF #|#|#|#,-4.434|#|#|-0.3345,0.761|#|#|#|#|#|#| THEN  9 With Confidence=1.0 and Coverage=0.39506173
4:IF #|#|#|-2.9684999999999997,-2.508|1.815,#|#|#,0.3865|#|-0.025500000000000002,1.356|#|#|#|-1.201,-0.446| THEN  4 With Confidence=1.0 and Coverage=0.34567901
5:IF #|#|#|-2.317,#|1.549,2.2875|#|#,0.7204999999999999|#|#|#|#|#|#| THEN  3 With Confidence=1.0 and Coverage=0.2962963
6:IF #|#|#|-2.9435000000000002,-2.6115000000000004|2.3695,3.1624999999999996|#|#|#|-0.3415,1.9535|#|-0.147,#|#|#| THEN  4 With Confidence=1.0 and Coverage=0.25925925
7:IF #|#|#|-4.1545000000000005,-3.7545|2.253,3.3855|#|#|#|#|#|#|#|-1.201,-0.451| THEN  8 With Confidence=1.0 and Coverage=0.22222222
8:IF #|#|#|-5.0535,-4.7725|#|#|#|#|#|#|#|#|#| THEN  9 With Confidence=1.0 and Coverage=0.20987654
9:IF #|#|#|-2.822,-2.6005000000000003|2.2945,3.3885|#|#|-1.283,#|#|#|#|#|#| THEN  4 With Confidence=1.0 and Coverage=0.20987654
10:IF #|#|#|-3.6645000000000003,-3.0534999999999997|2.8520000000000003,3.4215|#|#|#|#|-0.9555,0.5215000000000001|0.1245,#|#|#| THEN  6 With Confidence=1.0 and Coverage=0.20987654
11:IF #|#|#|-3.7405,-2.9684999999999997|2.6985,3.1825|#|#|#|#|#|#|#|#,-0.457| THEN  6 With Confidence=1.0 and Coverage=0.19753087
12:IF #|#|#|#|-0.032,0.2225|#|#|#|#,1.7415|-0.9355,0.5215000000000001|#|#|#| THEN  1 With Confidence=1.0 and Coverage=0.18518518
13:IF #|#|#|#|3.673,#|#|#|#|#|#|0.3995,0.7555000000000001|#|#| THEN  7 With Confidence=1.0 and Coverage=0.14814815
14:IF #|#|#|#|-0.059,0.2225|#|#|#,-0.0685|#|#|#|#|#| THEN  1 With Confidence=1.0 and Coverage=0.13580246
15:IF #|#|#|-3.7510000000000003,-3.0570000000000004|#|#|-0.2245,0.7|0.2025,#|#|#|-0.122,#|#|#| THEN  10 With Confidence=1.0 and Coverage=0.12345679
16:IF #|#|#|-3.301,-2.8175|#|#|#|#|#|#|#|0.8825000000000001,#|#| THEN  6 With Confidence=1.0 and Coverage=0.11111111
17:IF #|#|#|-3.748,-2.9715|#|#|0.2555,0.761|#|#|#|#|#|#,-0.451| THEN  10 With Confidence=1.0 and Coverage=0.09876543
18:IF #|#|#|-2.4524999999999997,#|1.1215000000000002,2.5795000000000003|#|#|#|#|#|#|0.438,#|#| THEN  5 With Confidence=1.0 and Coverage=0.086419754
19:IF #|#,0.5|#|#|#|#|#|#|#|#|#,-0.217|#|#| THEN  5 With Confidence=1.0 and Coverage=0.074074075
20:IF #|#|#|-2.524,#|3.0404999999999998,#|#|#|#|#|#|#|#|#| THEN  4 With Confidence=1.0 and Coverage=0.074074075
21:IF #|#|#|#|#|0.9844999999999999,1.0265|#|#|#|#|#|#|#| THEN  6 With Confidence=1.0 and Coverage=0.037037037
22:IF #|#|#|#|#|#|#|-0.9895,-0.987|#|#|#|#|#| THEN  5 With Confidence=1.0 and Coverage=0.012345679
23:IF #|#|#|-2.3715,#|#|#|#|#|#|#|-0.224,0.2725|#|#| THEN  3 With Confidence=0.972973 and Coverage=0.44444445
24:IF #|#|#|-2.9435000000000002,-2.508|1.8185,3.393|#|#|#|-0.025500000000000002,1.3615|#|#|#|-1.201,-0.457| THEN  4 With Confidence=0.96875 and Coverage=0.38271606
25:IF #|#|#|-2.524,-1.2175|0.522,1.2785|#|#|#|0.3925,#|#|#|-0.9035,0.2|#| THEN  2 With Confidence=0.95652175 and Coverage=0.27160493
26:IF #|#|#|-4.173500000000001,-3.7685|0.921,3.3885|#|#|#|#|#|#|-0.9025000000000001,0.206|#,-0.4325| THEN  8 With Confidence=0.95652175 and Coverage=0.27160493
27:IF #|#|#|-2.8135000000000003,-2.6005000000000003|2.2875,3.3855|#|#|#|-0.0050,#|#|#|#|#| THEN  4 With Confidence=0.95238096 and Coverage=0.24691358
28:IF #|#|#|-4.172499999999999,-3.782|2.2545,3.393|#|#|#|#|#|#|#|#,-0.446| THEN  8 With Confidence=0.95 and Coverage=0.2345679
29:IF #|#|#|-3.5890000000000004,-3.0515|#|#|0.2545,0.5555000000000001|#|0.166,#|#|-0.1235,#|#|#| THEN  10 With Confidence=0.9375 and Coverage=0.18518518
30:IF #|#|#|-3.7375,-2.9684999999999997|2.6985,3.1765|#|#|#|#|#|-0.1255,#|#|#| THEN  6 With Confidence=0.9354839 and Coverage=0.3580247
31:IF #|#|#|-3.592,-2.9699999999999998|0.47450000000000003,0.903|#|#|#|#|#|#|#|#| THEN  1 With Confidence=0.93333334 and Coverage=0.17283951
32:IF #|#|#|#|#|1.087,#|#|#|#|#|#|#|#| THEN  0 With Confidence=0.9166667 and Coverage=0.13580246
33:IF #|#|#|-2.9485,-2.6095|2.3625,3.1765|#|#|#|#|#|-0.1235,#|#|#| THEN  4 With Confidence=0.9130435 and Coverage=0.25925925
34:IF #|#|#|-2.5285,-2.44|1.0625,2.7085|#|#,0.0385|#|#|#|#|#|#| THEN  5 With Confidence=0.90909094 and Coverage=0.12345679
35:IF #|#|#|#|#,0.3515|#|#|#|#|#|#|#|#,-0.446| THEN  0 With Confidence=0.9047619 and Coverage=0.4691358
