4.7, 3.2, 1.6, 0.2, Iris-setosa
4.5, 2.3, 1.3, 0.3, Iris-setosa
4.4, 3.2, 1.3, 0.2, Iris-setosa
5.0, 3.5, 1.6, 0.6, Iris-setosa
5.0, 3.3, 1.4, 0.2, Iris-setosa
5.5, 2.3, 4.0, 1.3, Iris-versicolor
5.8, 2.7, 4.1, 1.0, Iris-versicolor
6.4, 2.9, 4.3, 1.3, Iris-versicolor
6.0, 2.7, 5.1, 1.6, Iris-versicolor
6.0, 3.4, 4.5, 1.6, Iris-versicolor
7.7, 2.6, 6.9, 2.3, Iris-virginica
6.3, 2.7, 4.9, 1.8, Iris-virginica
6.9, 3.1, 5.4, 2.1, Iris-virginica
6.9, 3.1, 5.1, 2.3, Iris-virginica
6.8, 3.2, 5.9, 2.3, Iris-virginica

