5.1, 3.8, 1.5, 0.3, Iris-setosa
5.1, 3.4, 1.5, 0.2, Iris-setosa
4.8, 3.0, 1.4, 0.3, Iris-setosa
5.1, 3.8, 1.6, 0.2, Iris-setosa
6.3, 2.5, 4.9, 1.5, Iris-versicolor
5.5, 2.4, 3.7, 1.0, Iris-versicolor
5.6, 3.0, 4.1, 1.3, Iris-versicolor
5.7, 2.9, 4.2, 1.3, Iris-versicolor
7.2, 3.6, 6.1, 2.5, Iris-virginica
6.8, 3.0, 5.5, 2.1, Iris-virginica
5.7, 2.5, 5.0, 2.0, Iris-virginica
6.5, 3.0, 5.5, 1.8, Iris-virginica
6.7, 3.3, 5.7, 2.5, Iris-virginica
5.0, 3.4, 1.5, 0.2, Iris-setosa
6.6, 2.9, 4.6, 1.3, Iris-versicolor

