1:IF #|#|#|-2.3129999999999997,#|1.0179999999999998,3.3885|#|#|-0.957,0.4105|#|#|#|-0.6765000000000001,0.4425|#| THEN  3 With Confidence=1.0 and Coverage=0.41975307
2:IF #|#|#|#,-4.5325|#|#|-0.537,0.8125|#|#|#|#|#|#| THEN  9 With Confidence=1.0 and Coverage=0.34567901
3:IF #|#|#|-3.8415,-3.0635|#,0.0655|#|#|#|#|#|#|#|#| THEN  0 With Confidence=1.0 and Coverage=0.28395063
4:IF #|#|#|-4.204000000000001,-3.8385|2.282,3.51|#|#|#|#|#|#|-0.675,0.4485|#,-0.309| THEN  8 With Confidence=1.0 and Coverage=0.2345679
5:IF #|#|#|-3.1585,-1.085|#,0.3325|#|-0.5705,0.8125|#|#|#|-0.1425,1.077|#|#| THEN  1 With Confidence=1.0 and Coverage=0.19753087
6:IF #|#|#|-2.4785000000000004,-1.7985|0.3515,1.3415|#|0.2045,1.016|#|#|#|#|#,0.11449999999999999|#| THEN  2 With Confidence=1.0 and Coverage=0.19753087
7:IF #|#|#|#|#,0.40700000000000003|#|#|#|#|#|#|0.195,0.8825000000000001|#| THEN  1 With Confidence=1.0 and Coverage=0.12345679
8:IF #|#|#|#|#|1.1164999999999998,#|#|#|#|#|#|#|#| THEN  0 With Confidence=1.0 and Coverage=0.11111111
9:IF #|#|#|-3.4825,-2.5305|#|#|#|#|#|#|1.3295,#|#|#| THEN  6 With Confidence=1.0 and Coverage=0.11111111
10:IF #|#|#|-3.416,-3.066|#|#|0.2375,0.506|#|#|#|-0.1385,1.0625|#,0.12|#| THEN  10 With Confidence=1.0 and Coverage=0.11111111
11:IF #|#|#|-4.1045,-4.0695|#|#|#|-0.9595,0.4105|#|#|-0.1385,1.0545|#|#| THEN  8 With Confidence=1.0 and Coverage=0.09876543
12:IF #|#|#|-4.1745,-3.8385|#|#|0.23,0.489|#|#|#|#|-0.6775,0.4425|#| THEN  8 With Confidence=1.0 and Coverage=0.09876543
13:IF #|#|#|-2.5389999999999997,-2.29|#|#|#|-0.9595,-0.413|#,0.6924999999999999|#|#|#|#,-0.3265| THEN  5 With Confidence=1.0 and Coverage=0.09876543
14:IF #|#|#|-2.4785000000000004,-1.7985|#|#|#|0.509,#|#|#|#|#|#| THEN  2 With Confidence=1.0 and Coverage=0.086419754
15:IF #|#|#|-2.3049999999999997,-1.5065|#|#|#|#|#|#|-0.048,0.0335|#|#| THEN  3 With Confidence=1.0 and Coverage=0.086419754
16:IF #|#|#|-2.5115,-2.3129999999999997|2.2835,3.51|#|#|#|#|#|#|-0.89,0.3895|#| THEN  5 With Confidence=1.0 and Coverage=0.086419754
17:IF #|#|#|-2.8135000000000003,-2.731|2.2805,3.379|#|#|#|#|#|-0.1445,1.073|#|#| THEN  4 With Confidence=1.0 and Coverage=0.086419754
18:IF #|#|#|#|2.8645,2.8955|#|#|#|#|#|#|#|#| THEN  6 With Confidence=1.0 and Coverage=0.061728396
19:IF #|#|#|#|#|-1.2275,-0.493|#|#|#|#|1.3295,#|#|#| THEN  8 With Confidence=1.0 and Coverage=0.061728396
20:IF #|#|#|-2.5564999999999998,-2.2184999999999997|3.2485,#|#|#|#|#|#|#|#|#| THEN  4 With Confidence=1.0 and Coverage=0.061728396
21:IF #|#|#|#|1.8014999999999999,2.002|-0.7395,-0.6595|#|#|#|#|#|#|#| THEN  10 With Confidence=1.0 and Coverage=0.061728396
22:IF #|#|#|#|4.7445,#|#|#|#|#|#|#|#|#| THEN  9 With Confidence=1.0 and Coverage=0.049382716
23:IF #|#|#|#|#|#|#|#|#|#,-1.3479999999999999|#|#|#| THEN  7 With Confidence=1.0 and Coverage=0.049382716
24:IF #|#|#|#|2.8955,2.9|#|#|#|#|#|#|#|#| THEN  5 With Confidence=1.0 and Coverage=0.037037037
25:IF #|#|#|#|#|#|#|#|#, -0.836|#|#|#|#| THEN  1 With Confidence=1.0 and Coverage=0.012345679
26:IF #|#|#|#|#,-0.032|#|#|#|#|#|#|-0.7895000000000001,#|#| THEN  0 With Confidence=0.9655172 and Coverage=0.34567901
27:IF #|#|#|-4.194,-3.8385|2.2835,3.51|#|#|#|#|#|#|-0.6775,0.4425|#,0.5845| THEN  8 With Confidence=0.96 and Coverage=0.2962963
28:IF #|#|#|-2.8514999999999997,-2.5389999999999997|2.2835,3.45|#|#|#|-0.2945,#|#|#|#|#,-0.3155| THEN  4 With Confidence=0.95238096 and Coverage=0.24691358
29:IF #|#|#|#|#,0.3505|#|0.3945,#|#|#|#|#|#|#,-0.3255| THEN  0 With Confidence=0.9512195 and Coverage=0.4814815
30:IF #|#|#|-2.5115,-2.251|#|#|#|#|#|#|#|0.195,0.8694999999999999|#| THEN  5 With Confidence=0.9444444 and Coverage=0.20987654
31:IF #|#|#|-2.4850000000000003,-1.7985|0.3515,1.3445|#|#|#|#|#|#|#,0.2055|#| THEN  2 With Confidence=0.93333334 and Coverage=0.34567901
32:IF #|#|#|-3.484,-3.0545|#|#|0.2375,0.506|#|#|#|-0.1445,1.077|#|#| THEN  10 With Confidence=0.93333334 and Coverage=0.17283951
33:IF #|#|#|-3.583,-2.6585|3.1975,#|#|#|#|#|#|#|#|-0.601,0.994| THEN  6 With Confidence=0.9285714 and Coverage=0.16049382
34:IF #|#|#|-2.011,#|1.037,2.2945|#|#|#|#|#|#|#|#| THEN  3 With Confidence=0.9230769 and Coverage=0.2962963
35:IF #|#|#|#,-4.555999999999999|1.8130000000000002,#|#|#|#|-0.301,#|#|#|#|#| THEN  9 With Confidence=0.9142857 and Coverage=0.39506173
36:IF #|#|#|-4.6505,-3.779|#|#|#|#,-0.9844999999999999|#|#|#|#|#,0.5845| THEN  7 With Confidence=0.9142857 and Coverage=0.39506173
37:IF #|#|#|-2.8125,-2.5115|1.82,#|#|#|#|-0.291,#|#|#|#|#,-0.3255| THEN  4 With Confidence=0.90909094 and Coverage=0.37037036
38:IF #|#|#|-4.1015,-3.8415|2.282,3.51|#|#|#|#|#|#|-0.6765000000000001,0.4435|#| THEN  8 With Confidence=0.9047619 and Coverage=0.2345679
39:IF #|#|#|-2.5564999999999998,-2.2845|#|#|#|-0.957,-0.413|#,0.6935|#|-0.1385,1.077|#|#| THEN  5 With Confidence=0.9 and Coverage=0.22222222
40:IF #|#|#|-3.0054999999999996,-2.5115|1.82,3.3585000000000003|#|#|#|#|#|-0.1465,1.073|#|#,-0.309| THEN  4 With Confidence=0.8947368 and Coverage=0.41975307
41:IF #|#|#|-3.0025,#|-0.032,0.3515|#|#|#|#|#|#|#|#,0.5845| THEN  1 With Confidence=0.8947368 and Coverage=0.20987654
42:IF #|#|#|-4.591,-3.782|#|#|#|#,-0.9844999999999999|#|#|#|#|-0.752,0.992| THEN  7 With Confidence=0.88372093 and Coverage=0.4691358
43:IF #|#|#|-4.1015,-3.786|#|#|#|#,-0.98|#|#|#|#|#| THEN  7 With Confidence=0.88235295 and Coverage=0.37037036
44:IF #|#|#|-4.194,-3.8385|2.2805,3.3885|#|#|#|#|#|#|-0.681,0.4485|#| THEN  8 With Confidence=0.88 and Coverage=0.27160493
45:IF #|#|#|-2.749,-1.7985|0.3515,1.3445|#|#|#|#|#|#|#,0.1245|#| THEN  2 With Confidence=0.875 and Coverage=0.5185185
46:IF #|#|#|-3.8385,-2.3195|0.2885,1.4929999999999999|#|#|0.5025,#|#|#|#|#|#| THEN  1 With Confidence=0.875 and Coverage=0.25925925
47:IF #|#|#|-3.484,-3.0545|#|#|0.2375,0.506|#|#|#|#|#|#| THEN  10 With Confidence=0.875 and Coverage=0.17283951
48:IF #|#|#|-3.2405,-3.0475000000000003|2.2835,3.501|#|#|#|#|#|-0.1385,1.073|#|#| THEN  6 With Confidence=0.8695652 and Coverage=0.24691358
49:IF #|#|#|#|#,0.3325|#|0.396,#|#|#|#|#|#|#,0.5805| THEN  0 With Confidence=0.8666667 and Coverage=0.6419753
50:IF #|#|#|-4.194,-3.8385|2.2835,3.51|#|#|-0.957,0.40449999999999997|#|#|#|#|#,0.593| THEN  8 With Confidence=0.8666667 and Coverage=0.32098764
51:IF #|#|#|-2.316,#|1.029,3.392|#|#|#|#|#|#|-0.675,0.12|#| THEN  3 With Confidence=0.8333333 and Coverage=0.49382716
52:IF #|#|#|-3.592,-3.0545|#|#|0.23,0.506|#|#|#|-0.1425,1.077|#|#| THEN  10 With Confidence=0.8333333 and Coverage=0.18518518
53:IF #|#|#|#,-3.6275|#|#|#|#,-0.98|#|#|#|#|#| THEN  7 With Confidence=0.8235294 and Coverage=0.5185185
54:IF #|#|#|-3.0035,-2.5115|1.82,3.3855|#|#|#|-0.301,#|#|#|#|#,-0.3235| THEN  4 With Confidence=0.82222223 and Coverage=0.45679012
55:IF #|#|#|-4.1745,-3.7735|1.6524999999999999,3.51|#|#|#|#|#|#|-0.675,0.438|#,0.589| THEN  8 With Confidence=0.82051283 and Coverage=0.39506173
56:IF #|#|#|-3.866,-3.0545|#|#|0.2405,1.004|#|#|#|-0.1425,1.0545|#|#,-0.3155| THEN  10 With Confidence=0.8181818 and Coverage=0.22222222
57:IF #|#|#|-4.6685,-2.388|3.4215,#|#|#|#|#|#|#|-0.786,#|#| THEN  7 With Confidence=0.8113208 and Coverage=0.5308642
58:IF #|#|#|-3.8600000000000003,-3.0545|#|#|0.2085,0.506|#|#|#|#|#|#,0.5854999999999999| THEN  10 With Confidence=0.8095238 and Coverage=0.20987654
59:IF #|#|#|-2.316,#|1.029,3.392|#|#|#|#|#|#|-0.6765000000000001,0.4425|#| THEN  3 With Confidence=0.8076923 and Coverage=0.5185185
60:IF #|#|#|-3.8600000000000003,-3.0545|#|#|0.2375,0.506|#|#|#|-0.1445,1.077|#,0.1245|#| THEN  10 With Confidence=0.8 and Coverage=0.24691358
61:IF #|#|#|-2.5564999999999998,-2.3129999999999997|#|#|#|-0.957,0.2065|#,0.6935|#|#|#|#| THEN  5 With Confidence=0.7941176 and Coverage=0.33333334
62:IF #|#|#|-2.749,#|0.3515,1.259|#|#|#|#|#|#|#,0.10550000000000001|#| THEN  2 With Confidence=0.7936508 and Coverage=0.61728394
63:IF #|#|#|#|#,0.38|#|#|#|#|#|#|#,0.12|#| THEN  0 With Confidence=0.7906977 and Coverage=0.83950615
64:IF #|#|#|-3.0025,-2.5115|1.82,3.379|#|#|#|#|#|-0.1445,1.073|#|#,0.5854999999999999| THEN  4 With Confidence=0.7818182 and Coverage=0.5308642
65:IF #|#|#|-4.591,-3.4255|3.1975,#|#|#|#,0.315|#|#|-0.1445,1.077|#|#| THEN  7 With Confidence=0.779661 and Coverage=0.56790125
