4.6, 3.2, 1.4, 0.2, Iris-setosa
6.3, 2.5, 4.9, 1.5, Iris-versicolor
6.6, 3.0, 4.4, 1.4, Iris-versicolor
6.7, 3.0, 5.0, 1.7, Iris-versicolor
5.0, 2.3, 3.3, 1.0, Iris-versicolor
6.3, 3.3, 6.0, 2.5, Iris-virginica
4.9, 2.5, 4.5, 1.7, Iris-virginica
6.1, 2.6, 5.6, 1.4, Iris-virginica
4.9, 3.0, 1.4, 0.2, Iris-setosa
4.8, 3.4, 1.6, 0.2, Iris-setosa
5.7, 3.8, 1.7, 0.3, Iris-setosa
5.9, 3.0, 4.2, 1.5, Iris-versicolor
5.7, 2.5, 5.0, 2.0, Iris-virginica
4.8, 3.1, 1.6, 0.2, Iris-setosa
6.4, 3.1, 5.5, 1.8, Iris-virginica

