5.1, 3.8, 1.5, 0.3, Iris-setosa
5.7, 2.6, 3.5, 1.0, Iris-versicolor
5.6, 3.0, 4.1, 1.3, Iris-versicolor
5.7, 3.0, 4.2, 1.2, Iris-versicolor
7.2, 3.6, 6.1, 2.5, Iris-virginica
6.0, 2.2, 5.0, 1.5, Iris-virginica
6.9, 3.2, 5.7, 2.3, Iris-virginica
6.3, 2.7, 4.9, 1.8, Iris-virginica
4.6, 3.4, 1.4, 0.3, Iris-setosa
4.8, 3.0, 1.4, 0.1, Iris-setosa
4.3, 3.0, 1.1, 0.1, Iris-setosa
4.9, 2.4, 3.3, 1.0, Iris-versicolor
5.2, 4.1, 1.5, 0.1, Iris-setosa
6.7, 3.1, 4.4, 1.4, Iris-versicolor
6.9, 3.1, 5.1, 2.3, Iris-virginica

