1:IF #|1110111110100011101110|#|#|#|#|#|#|97.25,98.6|#|#|#|#|#|#|#|#|#|#|#|#|#|#|#|#| THEN  2 With Confidence=1.0 and Coverage=0.37931034
2:IF 86.0,#|#|#|#|#|#|#|#|#|#|#|#|#|#|#|85.0,91.5|#|#|#|#|#|#|#|#|#| THEN  1 With Confidence=1.0 and Coverage=0.2857143
3:IF #|#|#|#|10|#|#|#|#|#|#|#|#|#|#|#|#|#|#|#|93.0,101.5|#|#|#|#| THEN  0 With Confidence=1.0 and Coverage=0.25
4:IF #,65.0|#|#|#|#|#|#|#|#|#|#|#|#|#|#|#|#|#|#|#|#|#|#|#|#| THEN  -1 With Confidence=1.0 and Coverage=0.2
5:IF #|#|#|#|#|#|#|#|#,88.5|#|#|#|#|#|#|#|#|#|#|#|#|#|#|#|#| THEN  2 With Confidence=1.0 and Coverage=0.10344828
6:IF #|1110111001001000100010|#|#|#|#|#|#|#|#|63.7,64.30000000000001|#|#|#|#|#|#|#,3.37|#|#|#|#|#|#|#| THEN  1 With Confidence=0.96428573 and Coverage=0.5510204
7:IF #|1110111001001001100010|#|#|#|#|#|#|#|#|62.95,64.30000000000001|#|#|#|#|#|#|#|3.075,3.5300000000000002|#|#|#|#|#|#| THEN  1 With Confidence=0.9354839 and Coverage=0.59183675
8:IF #|#|#|#|#|#|#|#|#|#|#|#,50.35|#|#|#|#|#|#|#|#|#|#|#|#|#| THEN  3 With Confidence=0.93333334 and Coverage=0.5833333
9:IF #|1110011001001001100010|#|#|#|#|#|#|#|#|63.5,64.30000000000001|#,56.05|#|#|#|#|#|#|#|#|#|#|#|#|#| THEN  1 With Confidence=0.9166667 and Coverage=0.67346936
10:IF #|0100001100101010011110|#|#|10|#|#|#|94.8,#|#|#|#|#|#|#|#|#|#|#|#|#|#|#|#|#| THEN  0 With Confidence=0.90909094 and Coverage=0.6666667
11:IF #,75.5|#|#|#|#|#|#|#|#|#|#|#|#|#|#|#|#|#|#|#|#|#|#|#|#| THEN  -1 With Confidence=0.8888889 and Coverage=0.4
12:IF #|#|#|#|#|#|#|#|#|#|#|48.3,51.8|#|#|#|#|#|#|#|#|#|#|#|#|9927.0,#| THEN  3 With Confidence=0.85714287 and Coverage=0.75
13:IF 84.0,#|#|#|#|#|#|#|#|#|#|63.5,64.30000000000001|#|#|#|#|#|#|#,3.3449999999999998|#|#|#|#|#|#|#| THEN  1 With Confidence=0.85365856 and Coverage=0.71428573
14:IF #|0100001100100010011100|#|#|#|#|#|#|95.80000000000001,#|#|#|#|#|#|#|#|#|#|#|#|#|#|#|#|#| THEN  0 With Confidence=0.8148148 and Coverage=0.73333335
